id	nama	kategori	overlay	vonis	per_emiten	catatan
sma	Simple Moving Average (SMA)	Moving Averages	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2461 titik, 7415 NaN
adr	Average Day Range (ADR)	Volatility	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2456 titik, 13 NaN
alma	Arnaud Legoux Moving Average (ALMA)	Moving Averages	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2461 titik, 8 NaN
atr	Average True Range (ATR)	Volatility	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2456 titik, 13 NaN
bb	Bollinger Bands (BB)	Channels & Bands	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 7350 titik, 57 NaN
bop	Balance of Power (BOP)	Momentum	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2405 titik, 64 NaN
cci	Commodity Channel Index (CCI)	Oscillators	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 4887 titik, 4989 NaN
dema	Double EMA (DEMA)	Moving Averages	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2453 titik, 16 NaN
ema	Exponential Moving Average (EMA)	Moving Averages	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2461 titik, 7415 NaN
hma	Hull Moving Average (HMA)	Moving Averages	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2459 titik, 10 NaN
ichimoku	Ichimoku Cloud	Trend	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 19340 titik, 2881 NaN
keltner	Keltner Channels (KC)	Channels & Bands	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 7350 titik, 57 NaN
lsma	Least Squares Moving Average (LSMA)	Moving Averages	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2445 titik, 24 NaN
macd	MACD	Momentum	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 7316 titik, 91 NaN
mass-index	Mass Index	Trend	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2444 titik, 25 NaN
mc-ginley-dynamic	McGinley Dynamic	Moving Averages	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2469 titik
momentum	Momentum	Momentum	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2459 titik, 10 NaN
obv	On Balance Volume (OBV)	Volume	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2469 titik, 7407 NaN
rma	Smoothed Moving Average (RMA)	Moving Averages	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2463 titik, 6 NaN
roc	Rate of Change (ROC)	Momentum	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2460 titik, 9 NaN
rsi	Relative Strength Index (RSI)	Oscillators	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 7515 titik, 9768 NaN
stoch	Stochastic	Oscillators	false	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 4910 titik, 28 NaN
tema	Triple EMA (TEMA)	Moving Averages	true	BEKERJA	BBCA=BEKERJA ARCI=BEKERJA	BBCA: 2445 titik, 24 NaN
