id	nama	singkat	kategori	grup	overlay	plot
abandoned-baby-bearish	Abandoned Baby - Bearish	Abandoned Baby - Bear	Candlestick Patterns	candlestick	1	0
abandoned-baby-bullish	Abandoned Baby - Bullish	Abandoned Baby - Bull	Candlestick Patterns	candlestick	1	0
accurate-swing-trading	Accurate Swing Trading	AST	Trend	community	1	1
adaptive-hull-ma	72s: Adaptive Hull Moving Average+	AdaptiveHullMA	Moving Averages	community	1	8
adaptive-macd	Adaptive MACD	AdaptiveMACD	Momentum	community	0	3
adaptive-trend-flow	Adaptive Trend Flow [QuantAlgo]	AdaptiveTrendFlow	Trend	community	1	2
adr	Average Day Range (ADR)	ADR	Volatility	standard	0	1
adx	Average Directional Index (ADX)	ADX	Trend	standard	0	1
adx-cobra	ADX by cobra	ADX Cobra	Trend	community	0	3
adx-di-gu5	ADX Di+ Di- [Gu5]	ADX Gu5	Trend	community	0	3
ai-engulfing	AI Engulfing Candle	AIEngulf	Candlestick Patterns	community	1	1
ai-trend-navigator	AI Trend Navigator [K-Neighbor]	AiTrendNavigator	Trend	community	1	2
ak-trend-id	AK TREND ID	AKTID	Trend	community	0	2
all-candlestick-patterns	All Candlestick Patterns	CdlPat	Candlestick Patterns	community	1	1
alma	Arnaud Legoux Moving Average (ALMA)	ALMA	Moving Averages	standard	1	1
alpha-trend	AlphaTrend	AT	Trend	community	1	2
anti-volume-stop	Anti-Volume Stop Loss	AVStop	Trend	community	1	1
aroon	Aroon	Aroon	Trend	standard	0	2
aroon-oscillator	Aroon Oscillator	Aroon Osc	Trend	standard	0	1
atr	Average True Range (ATR)	ATR	Volatility	standard	0	1
atr-plus	ATR+ Stop Loss Indicator	ATR+	Trend	community	0	5
atr-trailing-colored	Average True Range Trailing Stops Colored	ATRTSC	Trend	community	1	1
atr-trailing-stops	ATR Trailing Stops	ATRTS	Trend	community	1	1
auto-fib	Auto Fibonacci	AutoFib	Channels & Bands	community	1	7
auto-fibo-indicators	Auto Fibo on Indicators	AutoFibo	Oscillators	community	0	12
auto-key-levels	Auto Key Levels	Key Levels	Trend	standard	1	0
auto-support	Auto-Support	AutoSup	Channels & Bands	community	1	56
auto-support-resistance	Automatic Support & Resistance	Auto S/R	Channels & Bands	community	1	8
auto-trend-detector	Auto Trend Detector	Auto Trend	Trend	standard	1	0
auto-trendline	Auto Trendline [DojiEmoji]	AutoTL	Trend	community	1	0
average-sentiment-oscillator	Average Sentiment Oscillator	ASO	Oscillators	community	0	2
awesome-oscillator	Awesome Oscillator	AO	Oscillators	standard	0	1
awesome-oscillator-v2	Awesome Oscillator V2	AOv2	Oscillators	community	0	2
banker-fund-flow	Banker Fund Flow Trend Oscillator	BankerFundFlow	Oscillators	community	0	2
bb	Bollinger Bands (BB)	BB	Channels & Bands	standard	1	3
bb-bandwidth	Bollinger BandWidth	BBW	Volatility	standard	0	3
bb-bars	Bollinger Bars	BB Bars	Volatility	standard	1	0
bb-breakout-oscillator	BB Breakout Oscillator	BBBO	Oscillators	community	0	3
bb-fibonacci-ratios	BB Fibonacci Ratios	BB Fib	Channels & Bands	community	1	7
bb-percent-b	Bollinger Bands %B	BB%B	Oscillators	standard	0	1
bb-stoch-rsi	BB Stochastic RSI Extreme Signal	BBStochRSI	Oscillators	community	1	3
bbtrend	BBTrend	BBT	Trend	standard	0	1
